啊	0xa1b0	0x554a
阿	0xa2b0	0x963f
埃	0xa3b0	0x57c3
挨	0xa4b0	0x6328
哎	0xa5b0	0x54ce
唉	0xa6b0	0x5509
哀	0xa7b0	0x54c0
皑	0xa8b0	0x7691
癌	0xa9b0	0x764c
蔼	0xaab0	0x853c
矮	0xabb0	0x77ee
艾	0xacb0	0x827e
碍	0xadb0	0x788d
爱	0xaeb0	0x7231
隘	0xafb0	0x9698
鞍	0xb0b0	0x978d
氨	0xb1b0	0x6c28
安	0xb2b0	0x5b89
俺	0xb3b0	0x4ffa
按	0xb4b0	0x6309
暗	0xb5b0	0x6697
岸	0xb6b0	0x5cb8
胺	0xb7b0	0x80fa
案	0xb8b0	0x6848
肮	0xb9b0	0x80ae
昂	0xbab0	0x6602
盎	0xbbb0	0x76ce
凹	0xbcb0	0x51f9
敖	0xbdb0	0x6556
熬	0xbeb0	0x71ac
翱	0xbfb0	0x7ff1
袄	0xc0b0	0x8884
傲	0xc1b0	0x50b2
奥	0xc2b0	0x5965
懊	0xc3b0	0x61ca
澳	0xc4b0	0x6fb3
芭	0xc5b0	0x82ad
捌	0xc6b0	0x634c
扒	0xc7b0	0x6252
叭	0xc8b0	0x53ed
吧	0xc9b0	0x5427
笆	0xcab0	0x7b06
八	0xcbb0	0x516b
疤	0xccb0	0x75a4
巴	0xcdb0	0x5df4
拔	0xceb0	0x62d4
跋	0xcfb0	0x8dcb
靶	0xd0b0	0x9776
把	0xd1b0	0x628a
耙	0xd2b0	0x8019
坝	0xd3b0	0x575d
霸	0xd4b0	0x9738
罢	0xd5b0	0x7f62
爸	0xd6b0	0x7238
白	0xd7b0	0x767d
柏	0xd8b0	0x67cf
百	0xd9b0	0x767e
摆	0xdab0	0x6446
佰	0xdbb0	0x4f70
败	0xdcb0	0x8d25
拜	0xddb0	0x62dc
稗	0xdeb0	0x7a17
斑	0xdfb0	0x6591
班	0xe0b0	0x73ed
搬	0xe1b0	0x642c
扳	0xe2b0	0x6273
般	0xe3b0	0x822c
颁	0xe4b0	0x9881
板	0xe5b0	0x677f
版	0xe6b0	0x7248
扮	0xe7b0	0x626e
拌	0xe8b0	0x62cc
伴	0xe9b0	0x4f34
瓣	0xeab0	0x74e3
半	0xebb0	0x534a
办	0xecb0	0x529e
绊	0xedb0	0x7eca
邦	0xeeb0	0x90a6
帮	0xefb0	0x5e2e
梆	0xf0b0	0x6886
榜	0xf1b0	0x699c
膀	0xf2b0	0x8180
绑	0xf3b0	0x7ed1
棒	0xf4b0	0x68d2
磅	0xf5b0	0x78c5
蚌	0xf6b0	0x868c
镑	0xf7b0	0x9551
傍	0xf8b0	0x508d
谤	0xf9b0	0x8c24
苞	0xfab0	0x82de
胞	0xfbb0	0x80de
包	0xfcb0	0x5305
褒	0xfdb0	0x8912
剥	0xfeb0	0x5265
薄	0xa1b1	0x8584
雹	0xa2b1	0x96f9
保	0xa3b1	0x4fdd
堡	0xa4b1	0x5821
饱	0xa5b1	0x9971
宝	0xa6b1	0x5b9d
抱	0xa7b1	0x62b1
报	0xa8b1	0x62a5
暴	0xa9b1	0x66b4
豹	0xaab1	0x8c79
鲍	0xabb1	0x9c8d
爆	0xacb1	0x7206
杯	0xadb1	0x676f
碑	0xaeb1	0x7891
悲	0xafb1	0x60b2
卑	0xb0b1	0x5351
北	0xb1b1	0x5317
辈	0xb2b1	0x8f88
背	0xb3b1	0x80cc
贝	0xb4b1	0x8d1d
钡	0xb5b1	0x94a1
倍	0xb6b1	0x500d
狈	0xb7b1	0x72c8
备	0xb8b1	0x5907
惫	0xb9b1	0x60eb
焙	0xbab1	0x7119
被	0xbbb1	0x88ab
奔	0xbcb1	0x5954
苯	0xbdb1	0x82ef
本	0xbeb1	0x672c
笨	0xbfb1	0x7b28
崩	0xc0b1	0x5d29
绷	0xc1b1	0x7ef7
甭	0xc2b1	0x752d
泵	0xc3b1	0x6cf5
蹦	0xc4b1	0x8e66
迸	0xc5b1	0x8ff8
逼	0xc6b1	0x903c
鼻	0xc7b1	0x9f3b
比	0xc8b1	0x6bd4
鄙	0xc9b1	0x9119
笔	0xcab1	0x7b14
彼	0xcbb1	0x5f7c
碧	0xccb1	0x78a7
蓖	0xcdb1	0x84d6
蔽	0xceb1	0x853d
毕	0xcfb1	0x6bd5
毙	0xd0b1	0x6bd9
毖	0xd1b1	0x6bd6
币	0xd2b1	0x5e01
庇	0xd3b1	0x5e87
痹	0xd4b1	0x75f9
闭	0xd5b1	0x95ed
敝	0xd6b1	0x655d
弊	0xd7b1	0x5f0a
必	0xd8b1	0x5fc5
辟	0xd9b1	0x8f9f
壁	0xdab1	0x58c1
臂	0xdbb1	0x81c2
避	0xdcb1	0x907f
陛	0xddb1	0x965b
鞭	0xdeb1	0x97ad
边	0xdfb1	0x8fb9
编	0xe0b1	0x7f16
贬	0xe1b1	0x8d2c
扁	0xe2b1	0x6241
便	0xe3b1	0x4fbf
变	0xe4b1	0x53d8
卞	0xe5b1	0x535e
辨	0xe6b1	0x8fa8
辩	0xe7b1	0x8fa9
辫	0xe8b1	0x8fab
遍	0xe9b1	0x904d
标	0xeab1	0x6807
彪	0xebb1	0x5f6a
膘	0xecb1	0x8198
表	0xedb1	0x8868
鳖	0xeeb1	0x9cd6
憋	0xefb1	0x618b
别	0xf0b1	0x522b
瘪	0xf1b1	0x762a
彬	0xf2b1	0x5f6c
斌	0xf3b1	0x658c
濒	0xf4b1	0x6fd2
滨	0xf5b1	0x6ee8
宾	0xf6b1	0x5bbe
摈	0xf7b1	0x6448
兵	0xf8b1	0x5175
冰	0xf9b1	0x51b0
柄	0xfab1	0x67c4
丙	0xfbb1	0x4e19
秉	0xfcb1	0x79c9
饼	0xfdb1	0x997c
炳	0xfeb1	0x70b3
病	0xa1b2	0x75c5
并	0xa2b2	0x5e76
玻	0xa3b2	0x73bb
菠	0xa4b2	0x83e0
播	0xa5b2	0x64ad
拨	0xa6b2	0x62e8
钵	0xa7b2	0x94b5
波	0xa8b2	0x6ce2
博	0xa9b2	0x535a
勃	0xaab2	0x52c3
搏	0xabb2	0x640f
铂	0xacb2	0x94c2
箔	0xadb2	0x7b94
伯	0xaeb2	0x4f2f
帛	0xafb2	0x5e1b
舶	0xb0b2	0x8236
脖	0xb1b2	0x8116
膊	0xb2b2	0x818a
渤	0xb3b2	0x6e24
泊	0xb4b2	0x6cca
驳	0xb5b2	0x9a73
捕	0xb6b2	0x6355
卜	0xb7b2	0x535c
哺	0xb8b2	0x54fa
补	0xb9b2	0x8865
埠	0xbab2	0x57e0
不	0xbbb2	0x4e0d
布	0xbcb2	0x5e03
步	0xbdb2	0x6b65
簿	0xbeb2	0x7c3f
部	0xbfb2	0x90e8
怖	0xc0b2	0x6016
擦	0xc1b2	0x64e6
猜	0xc2b2	0x731c
裁	0xc3b2	0x88c1
材	0xc4b2	0x6750
才	0xc5b2	0x624d
财	0xc6b2	0x8d22
睬	0xc7b2	0x776c
踩	0xc8b2	0x8e29
采	0xc9b2	0x91c7
彩	0xcab2	0x5f69
菜	0xcbb2	0x83dc
蔡	0xccb2	0x8521
餐	0xcdb2	0x9910
参	0xceb2	0x53c2
蚕	0xcfb2	0x8695
残	0xd0b2	0x6b8b
惭	0xd1b2	0x60ed
惨	0xd2b2	0x60e8
灿	0xd3b2	0x707f
苍	0xd4b2	0x82cd
舱	0xd5b2	0x8231
仓	0xd6b2	0x4ed3
沧	0xd7b2	0x6ca7
藏	0xd8b2	0x85cf
操	0xd9b2	0x64cd
糙	0xdab2	0x7cd9
槽	0xdbb2	0x69fd
曹	0xdcb2	0x66f9
草	0xddb2	0x8349
厕	0xdeb2	0x5395
策	0xdfb2	0x7b56
侧	0xe0b2	0x4fa7
册	0xe1b2	0x518c
测	0xe2b2	0x6d4b
层	0xe3b2	0x5c42
蹭	0xe4b2	0x8e6d
插	0xe5b2	0x63d2
叉	0xe6b2	0x53c9
茬	0xe7b2	0x832c
茶	0xe8b2	0x8336
查	0xe9b2	0x67e5
碴	0xeab2	0x78b4
搽	0xebb2	0x643d
察	0xecb2	0x5bdf
岔	0xedb2	0x5c94
差	0xeeb2	0x5dee
诧	0xefb2	0x8be7
拆	0xf0b2	0x62c6
柴	0xf1b2	0x67f4
